R= 1.000000e+00 n= 100 m= 100 ds= 1.000000e-02 law= 6
        r                  z(r)
   0.000000000000    1.000000000000
   0.010000000000    0.353553390593
   0.020000000000    0.192450089730
   0.030000000000    0.125000000000
   0.040000000000    0.089442719100
   0.050000000000    0.068041381744
   0.060000000000    0.053994924716
   0.070000000000    0.044194173824
   0.080000000000    0.037037037037
   0.090000000000    0.031622776602
   0.100000000000    0.027410122234
   0.110000000000    0.024056261216
   0.120000000000    0.021334622932
   0.130000000000    0.019090088708
   0.140000000000    0.017213259316
   0.150000000000    0.015625000000
   0.160000000000    0.014266801473
   0.170000000000    0.013094570022
   0.180000000000    0.012074512309
   0.190000000000    0.011180339887
   0.200000000000    0.010391328106
   0.210000000000    0.009690941653
   0.220000000000    0.009065844089
   0.230000000000    0.008505172718
   0.240000000000    0.008000000000
   0.250000000000    0.007542928275
   0.260000000000    0.007127781101
   0.270000000000    0.006749365589
   0.280000000000    0.006403287523
   0.290000000000    0.006085806195
   0.300000000000    0.005793719420
   0.310000000000    0.005524271728
   0.320000000000    0.005275080484
   0.330000000000    0.005044076034
   0.340000000000    0.004829452884
   0.350000000000    0.004629629630
   0.360000000000    0.004443215873
   0.370000000000    0.004268984767
   0.380000000000    0.004105850098
   0.390000000000    0.003952847075
   0.400000000000    0.003809116144
   0.410000000000    0.003673889285
   0.420000000000    0.003546478380
   0.430000000000    0.003426265279
   0.440000000000    0.003312693300
   0.450000000000    0.003205259916
   0.460000000000    0.003103510457
   0.470000000000    0.003007032652
   0.480000000000    0.002915451895
   0.490000000000    0.002828427125
   0.500000000000    0.002745647224
   0.510000000000    0.002666827866
   0.520000000000    0.002591708754
   0.530000000000    0.002520051176
   0.540000000000    0.002451635864
   0.550000000000    0.002386261089
   0.560000000000    0.002323740977
   0.570000000000    0.002263904015
   0.580000000000    0.002206591712
   0.590000000000    0.002151657415
   0.600000000000    0.002098965245
   0.610000000000    0.002048389145
   0.620000000000    0.001999812027
   0.630000000000    0.001953125000
   0.640000000000    0.001908226686
   0.650000000000    0.001865022591
   0.660000000000    0.001823424543
   0.670000000000    0.001783350184
   0.680000000000    0.001744722508
   0.690000000000    0.001707469442
   0.700000000000    0.001671523462
   0.710000000000    0.001636821253
   0.720000000000    0.001603303386
   0.730000000000    0.001570914037
   0.740000000000    0.001539600718
   0.750000000000    0.001509314039
   0.760000000000    0.001480007486
   0.770000000000    0.001451637223
   0.780000000000    0.001424161900
   0.790000000000    0.001397542486
   0.800000000000    0.001371742112
   0.810000000000    0.001346725928
   0.820000000000    0.001322460964
   0.830000000000    0.001298916013
   0.840000000000    0.001276061517
   0.850000000000    0.001253869456
   0.860000000000    0.001232313258
   0.870000000000    0.001211367707
   0.880000000000    0.001191008854
   0.890000000000    0.001171213948
   0.900000000000    0.001151961359
   0.910000000000    0.001133230511
   0.920000000000    0.001115001822
   0.930000000000    0.001097256645
   0.940000000000    0.001079977213
   0.950000000000    0.001063146590
   0.960000000000    0.001046748624
   0.970000000000    0.001030767903
   0.980000000000    0.001015189712
   0.990000000000    0.001000000000
        xi                 u(xi)
   0.000000000000    0.024118740987
   0.010000000000    0.017003900059
   0.020000000000    0.013490274578
   0.030000000000    0.011374566574
   0.040000000000    0.009931722251
   0.050000000000    0.008869444177
   0.060000000000    0.008046152196
   0.070000000000    0.007384214939
   0.080000000000    0.006837148450
   0.090000000000    0.006375233434
   0.100000000000    0.005978481120
   0.110000000000    0.005632893687
   0.120000000000    0.005328340857
   0.130000000000    0.005057288172
   0.140000000000    0.004814001053
   0.150000000000    0.004594027843
   0.160000000000    0.004393853285
   0.170000000000    0.004210659826
   0.180000000000    0.004042159245
   0.190000000000    0.003886471381
   0.200000000000    0.003742035151
   0.210000000000    0.003607542165
   0.220000000000    0.003481886475
   0.230000000000    0.003364126003
   0.240000000000    0.003253452588
   0.250000000000    0.003149168450
   0.260000000000    0.003050667524
   0.270000000000    0.002957420507
   0.280000000000    0.002868962771
   0.290000000000    0.002784884531
   0.300000000000    0.002704822769
   0.310000000000    0.002628454571
   0.320000000000    0.002555491580
   0.330000000000    0.002485675362
   0.340000000000    0.002418773501
   0.350000000000    0.002354576307
   0.360000000000    0.002292894007
   0.370000000000    0.002233554357
   0.380000000000    0.002176400581
   0.390000000000    0.002121289611
   0.400000000000    0.002068090549
   0.410000000000    0.002016683345
   0.420000000000    0.001966957635
   0.430000000000    0.001918811733
   0.440000000000    0.001872151739
   0.450000000000    0.001826890757
   0.460000000000    0.001782948206
   0.470000000000    0.001740249209
   0.480000000000    0.001698724043
   0.490000000000    0.001658307660
   0.500000000000    0.001618939251
